Actual_Churn,Predicted_Prob,Prescriptive_Action,Lifetime_Value,Country,City,Membership_Years
1,0.8345878602259007,Trigger Retention Campaign (15% Discount),485.31,Australia,Melbourne,3.7
1,0.7645337247859864,Trigger Retention Campaign (15% Discount),662.26,Japan,Tokyo,2.5
1,0.8294375357040882,Trigger Retention Campaign (15% Discount),769.81,UK,London,5.8
0,0.13848645686978117,Do Not Intervene,2189.18,USA,Phoenix,2.3
1,0.6907623959460112,Trigger Retention Campaign (15% Discount),2241.51,USA,New York,2.5
0,0.22617656905223582,Do Not Intervene,1724.37,USA,Chicago,4.8
1,0.8641912771837872,Trigger Retention Campaign (15% Discount),2381.48,USA,Phoenix,3.3
0,0.11701605268916948,Do Not Intervene,612.86,France,Lyon,2.9
0,0.09334449282878529,Do Not Intervene,951.91,France,Marseille,1.3
0,0.1313256236668591,Do Not Intervene,1373.81,Germany,Hamburg,2.1
0,0.21551406768281095,Do Not Intervene,1619.95,Australia,Perth,6.0
0,0.156761476118795,Do Not Intervene,1905.03,USA,Houston,3.8
0,0.1083176752630426,Do Not Intervene,2487.79,Canada,Montreal,1.0
0,0.3685747605881005,Trigger Retention Campaign (15% Discount),1585.07,Germany,Munich,4.3
0,0.21506731859436917,Do Not Intervene,1774.4,Australia,Melbourne,0.8
1,0.8974786052768576,Trigger Retention Campaign (15% Discount),622.53,USA,Chicago,10.0
1,0.8994587129074507,Trigger Retention Campaign (15% Discount),173.7,USA,Houston,5.2
0,0.8666538844718322,Trigger Retention Campaign (15% Discount),180.52,Japan,Tokyo,3.0
0,0.42124599418802494,Trigger Retention Campaign (15% Discount),1857.73,UK,Leeds,7.2
1,0.0833132413817966,Do Not Intervene,1569.19,USA,Chicago,4.3
0,0.13282296285144068,Do Not Intervene,2272.99,UK,London,4.6
0,0.09764457899269771,Do Not Intervene,1330.14,USA,Phoenix,3.1
0,0.09032611662750639,Do Not Intervene,883.05,USA,Phoenix,8.8
0,0.20820008154904937,Do Not Intervene,736.92,Japan,Nagoya,5.6
0,0.07122608303418652,Do Not Intervene,950.46,France,Lyon,2.2
0,0.12948461620447543,Do Not Intervene,814.05,USA,Phoenix,0.7
1,0.8830173905684303,Trigger Retention Campaign (15% Discount),233.01,Canada,Vancouver,2.2
0,0.9518797791832125,Trigger Retention Campaign (15% Discount),555.47,Australia,Melbourne,0.5
0,0.18476061774217886,Do Not Intervene,1066.46,Canada,Montreal,1.0
0,0.1365406541707827,Do Not Intervene,1504.26,Germany,Cologne,1.7
0,0.24343393712716196,Do Not Intervene,1055.86,USA,Chicago,3.6
0,0.2644699652688756,Do Not Intervene,1340.9,UK,Birmingham,2.0
0,0.10334720023915983,Do Not Intervene,1522.69,Canada,Ottawa,8.5
1,0.9331544508888829,Trigger Retention Campaign (15% Discount),2668.81,Australia,Sydney,1.4
0,0.07688423340490816,Do Not Intervene,846.9,UK,Glasgow,1.5
0,0.1494579144438894,Do Not Intervene,2695.55,USA,Houston,0.8
0,0.25940131426362634,Do Not Intervene,1137.82,UK,Glasgow,4.1
0,0.152638555262354,Do Not Intervene,3322.72,Canada,Calgary,2.6
0,0.12809394943017463,Do Not Intervene,1084.39,Canada,Montreal,2.3
0,0.20184892495736953,Do Not Intervene,2538.82,Australia,Brisbane,0.2
0,0.16952608453370663,Do Not Intervene,4814.37,USA,Houston,6.0
0,0.09794167488464728,Do Not Intervene,816.93,Germany,Frankfurt,3.9
0,0.31250398483432035,Trigger Retention Campaign (15% Discount),1179.34,USA,Los Angeles,2.9
0,0.12235574542930937,Do Not Intervene,916.36,Japan,Tokyo,8.1
0,0.0971487495015243,Do Not Intervene,1600.28,Japan,Yokohama,2.5
1,0.8329514520895991,Trigger Retention Campaign (15% Discount),1919.11,Canada,Calgary,1.9
0,0.1020035515322655,Do Not Intervene,1549.36,USA,Chicago,2.0
0,0.16734069066880852,Do Not Intervene,2304.59,USA,Chicago,2.2
0,0.21168828656587016,Do Not Intervene,6124.25,France,Paris,2.3
1,0.6938801733861161,Trigger Retention Campaign (15% Discount),1877.86,Canada,Ottawa,4.5
1,0.9138213706327835,Trigger Retention Campaign (15% Discount),2585.75,USA,New York,3.9
0,0.13138332009932002,Do Not Intervene,871.74,France,Nice,2.1
0,0.14017688852535795,Do Not Intervene,1342.59,Canada,Vancouver,7.6
1,0.8841241871618188,Trigger Retention Campaign (15% Discount),480.54,Japan,Yokohama,5.6
0,0.13553555854492508,Do Not Intervene,964.99,USA,Los Angeles,1.9
0,0.18516650850579885,Do Not Intervene,1191.66,Australia,Perth,0.8
0,0.28754265908122006,Trigger Retention Campaign (15% Discount),1113.45,Canada,Ottawa,1.5
0,0.15240569143595162,Do Not Intervene,2880.11,USA,Houston,2.6
1,0.8246444131750671,Trigger Retention Campaign (15% Discount),1953.37,USA,Houston,1.7
0,0.6200149784287123,Trigger Retention Campaign (15% Discount),318.86,France,Marseille,4.6
0,0.40812716372899144,Trigger Retention Campaign (15% Discount),1169.77,UK,Glasgow,2.7
0,0.1557792712569844,Do Not Intervene,689.81,Canada,Ottawa,4.7
0,0.18727827621642731,Do Not Intervene,1038.11,Germany,Munich,1.3
0,0.10135633592889644,Do Not Intervene,888.41,UK,London,3.7
0,0.17872690308885963,Do Not Intervene,1100.72,UK,London,0.2
0,0.18444741800680942,Do Not Intervene,928.42,USA,New York,0.3
0,0.1785593914454766,Do Not Intervene,1863.14,Germany,Berlin,5.7
0,0.17754719638122846,Do Not Intervene,1168.43,India,Hyderabad,2.5
0,0.11161318655455314,Do Not Intervene,1423.38,Canada,Calgary,3.8
0,0.2927759360882936,Trigger Retention Campaign (15% Discount),1335.5,Australia,Sydney,1.2
0,0.09699205314900697,Do Not Intervene,4079.69,India,Delhi,0.4
0,0.15666986816501227,Do Not Intervene,1152.44,UK,Glasgow,1.7
0,0.12374333385634852,Do Not Intervene,1227.78,Australia,Perth,2.0
0,0.11718350712952423,Do Not Intervene,1252.62,Australia,Melbourne,4.2
1,0.872196289442091,Trigger Retention Campaign (15% Discount),2442.3,USA,Chicago,4.4
0,0.14158577212210713,Do Not Intervene,1006.53,Japan,Nagoya,2.6
0,0.13466813376735653,Do Not Intervene,1017.39,USA,Phoenix,7.3
0,0.1137680726898893,Do Not Intervene,1283.39,USA,Chicago,4.4
0,0.17581416328836308,Do Not Intervene,1425.27,USA,Phoenix,7.8
1,0.9224947815345033,Trigger Retention Campaign (15% Discount),2164.53,USA,Los Angeles,1.1
1,0.9050319645890322,Trigger Retention Campaign (15% Discount),770.52,UK,London,2.2
0,0.12914933419907754,Do Not Intervene,1303.83,UK,Manchester,2.9
0,0.16763237287514277,Do Not Intervene,2526.98,USA,Chicago,5.6
0,0.27439831902950346,Do Not Intervene,403.81,France,Toulouse,1.3
1,0.9660349926466989,Trigger Retention Campaign (15% Discount),2462.64,USA,Chicago,3.6
1,0.5119930672803454,Trigger Retention Campaign (15% Discount),1719.48,Australia,Melbourne,1.6
0,0.40249041722415313,Trigger Retention Campaign (15% Discount),488.57,UK,Glasgow,1.8
0,0.19819562519856962,Do Not Intervene,1329.23,Canada,Vancouver,2.1
0,0.12183715625081122,Do Not Intervene,1422.36,USA,Los Angeles,2.9
1,0.8437765170935937,Trigger Retention Campaign (15% Discount),417.59,France,Paris,0.1
0,0.38478746519571094,Trigger Retention Campaign (15% Discount),2073.42,Canada,Toronto,4.3
0,0.18463997540514535,Do Not Intervene,3904.95,Australia,Sydney,7.4
0,0.6293526028548441,Trigger Retention Campaign (15% Discount),1136.61,UK,Manchester,3.7
1,0.7217348747301959,Trigger Retention Campaign (15% Discount),890.26,India,Chennai,1.2
0,0.3084861211906791,Trigger Retention Campaign (15% Discount),368.93,Germany,Frankfurt,8.4
1,0.876196133170303,Trigger Retention Campaign (15% Discount),2292.51,USA,Houston,2.2
0,0.12936499118372852,Do Not Intervene,990.63,USA,Chicago,5.1
0,0.42990034820133993,Trigger Retention Campaign (15% Discount),807.11,UK,Birmingham,0.6
0,0.3704852572664267,Trigger Retention Campaign (15% Discount),814.65,USA,Chicago,0.6
0,0.12875240587022024,Do Not Intervene,1478.55,Germany,Munich,1.2
0,0.1303013733766281,Do Not Intervene,3299.26,USA,Houston,2.2
0,0.12123935170083272,Do Not Intervene,1949.68,USA,Phoenix,2.4
0,0.4428004793388385,Trigger Retention Campaign (15% Discount),548.71,Germany,Munich,8.5
1,0.6645346055072368,Trigger Retention Campaign (15% Discount),636.25,Germany,Cologne,1.8
0,0.15310738751277908,Do Not Intervene,1542.15,Germany,Cologne,0.3
0,0.1530397936216016,Do Not Intervene,1207.28,Germany,Munich,4.9
0,0.20162673989499488,Do Not Intervene,464.85,France,Paris,1.2
0,0.653298075220318,Trigger Retention Campaign (15% Discount),201.47,Australia,Perth,1.3
0,0.10888952733046153,Do Not Intervene,846.62,UK,Birmingham,2.2
0,0.18683015560301267,Do Not Intervene,1014.85,UK,London,4.8
0,0.1159654890657044,Do Not Intervene,2438.82,Canada,Toronto,3.3
0,0.37868872805454395,Trigger Retention Campaign (15% Discount),1137.37,Australia,Melbourne,1.1
0,0.16674422680654427,Do Not Intervene,3498.8,UK,Birmingham,6.3
0,0.11475643347931717,Do Not Intervene,1068.03,UK,London,1.6
1,0.6415785083726117,Trigger Retention Campaign (15% Discount),2041.19,Australia,Melbourne,1.8
1,0.19627663498368456,Do Not Intervene,453.29,Australia,Perth,1.1
0,0.3790110431989671,Trigger Retention Campaign (15% Discount),497.46,Canada,Montreal,8.1
1,0.5950804994311549,Trigger Retention Campaign (15% Discount),1493.96,Canada,Vancouver,1.5
0,0.13317690231009868,Do Not Intervene,689.07,USA,Houston,3.9
1,0.9288590612340458,Trigger Retention Campaign (15% Discount),2389.36,USA,Houston,5.3
1,0.47010299393701316,Trigger Retention Campaign (15% Discount),645.19,France,Marseille,2.3
1,0.9129289153150463,Trigger Retention Campaign (15% Discount),2374.09,UK,Birmingham,4.9
0,0.1312978570341365,Do Not Intervene,2229.4,Australia,Melbourne,4.5
0,0.14234828255974066,Do Not Intervene,550.83,Germany,Berlin,5.7
0,0.17192645435113302,Do Not Intervene,997.11,Australia,Sydney,2.6
0,0.09100858899179715,Do Not Intervene,1131.97,France,Nice,5.1
1,0.8756859878158825,Trigger Retention Campaign (15% Discount),810.9,UK,Leeds,2.1
1,0.9144154212488664,Trigger Retention Campaign (15% Discount),2907.97,Australia,Sydney,1.1
0,0.2616296190465469,Do Not Intervene,779.7,USA,Houston,1.3
0,0.3535932898516392,Trigger Retention Campaign (15% Discount),432.63,USA,Phoenix,6.6
0,0.15022385465918422,Do Not Intervene,674.31,Australia,Melbourne,2.5
0,0.11785025719239492,Do Not Intervene,1889.36,Australia,Perth,2.7
0,0.13188609433519313,Do Not Intervene,851.68,USA,Phoenix,4.5
0,0.18181308648574437,Do Not Intervene,880.38,Germany,Munich,2.8
1,0.7992889058538956,Trigger Retention Campaign (15% Discount),762.16,USA,Phoenix,2.1
0,0.14414218205879636,Do Not Intervene,4662.03,UK,Glasgow,1.0
0,0.10774154516602705,Do Not Intervene,780.93,UK,Glasgow,0.5
0,0.1512116706460445,Do Not Intervene,2097.85,USA,Los Angeles,1.8
0,0.12557360136081586,Do Not Intervene,3291.2,USA,Phoenix,2.0
0,0.181241830500375,Do Not Intervene,1773.9,USA,New York,0.6
0,0.09299189136471414,Do Not Intervene,1304.73,UK,Glasgow,3.6
0,0.1234462103483745,Do Not Intervene,3230.69,Germany,Hamburg,0.5
0,0.18535099594766394,Do Not Intervene,1301.81,USA,Los Angeles,1.1
0,0.3447355505215103,Trigger Retention Campaign (15% Discount),1235.13,Australia,Brisbane,3.3
0,0.26030680125639605,Do Not Intervene,666.12,Japan,Nagoya,0.4
1,0.8221238663778314,Trigger Retention Campaign (15% Discount),1947.08,UK,Birmingham,2.4
0,0.1347967466324722,Do Not Intervene,1139.86,Canada,Ottawa,0.3
0,0.1187293320456213,Do Not Intervene,2718.98,USA,Los Angeles,4.0
1,0.7526065014699072,Trigger Retention Campaign (15% Discount),3536.16,Canada,Calgary,6.7
0,0.18295094850453644,Do Not Intervene,1835.7,Japan,Osaka,3.9
0,0.1317213137070341,Do Not Intervene,1507.76,India,Hyderabad,1.3
0,0.19523330605817063,Do Not Intervene,868.01,Japan,Kyoto,2.3
0,0.3985955018281815,Trigger Retention Campaign (15% Discount),1871.15,Japan,Yokohama,3.0
0,0.17212143175149883,Do Not Intervene,818.23,Canada,Calgary,1.6
0,0.24043898660000804,Do Not Intervene,1539.41,India,Chennai,4.5
0,0.3111091221267963,Trigger Retention Campaign (15% Discount),371.11,USA,Chicago,1.4
1,0.8746651167693084,Trigger Retention Campaign (15% Discount),191.45,UK,Leeds,0.9
1,0.701686628996664,Trigger Retention Campaign (15% Discount),1465.91,UK,Leeds,4.3
0,0.105514811223342,Do Not Intervene,1160.9,USA,Houston,3.5
1,0.6533593329558,Trigger Retention Campaign (15% Discount),71.2,USA,Phoenix,1.5
1,0.09896932076469446,Do Not Intervene,1004.07,USA,New York,1.4
0,0.09250481212450477,Do Not Intervene,1609.88,USA,Chicago,6.3
1,0.9216492374828422,Trigger Retention Campaign (15% Discount),1037.63,UK,Leeds,2.8
1,0.7291465184368521,Trigger Retention Campaign (15% Discount),1043.74,Germany,Berlin,0.7
0,0.13825952809884237,Do Not Intervene,546.8,Australia,Brisbane,2.5
0,0.21379078794399395,Do Not Intervene,2478.22,France,Lyon,0.8
0,0.18127421649129313,Do Not Intervene,1577.39,France,Toulouse,2.7
0,0.12245773970000486,Do Not Intervene,752.93,Canada,Toronto,5.5
1,0.5049218104084844,Trigger Retention Campaign (15% Discount),587.17,Canada,Montreal,4.3
1,0.7637807492834761,Trigger Retention Campaign (15% Discount),1871.72,France,Toulouse,3.4
1,0.9328076747519618,Trigger Retention Campaign (15% Discount),3245.77,USA,Chicago,1.5
1,0.8334960240857334,Trigger Retention Campaign (15% Discount),718.71,USA,Chicago,6.0
1,0.3294783097763922,Trigger Retention Campaign (15% Discount),1080.83,Germany,Frankfurt,6.5
1,0.7992113779916988,Trigger Retention Campaign (15% Discount),2197.55,Australia,Brisbane,2.5
0,0.10133042467334359,Do Not Intervene,940.32,USA,Phoenix,3.9
0,0.1922945230493333,Do Not Intervene,2489.41,USA,Phoenix,6.4
0,0.08459156567354877,Do Not Intervene,2495.74,USA,Los Angeles,2.4
1,0.4019290828037997,Trigger Retention Campaign (15% Discount),966.31,USA,Houston,2.0
0,0.11139921850283377,Do Not Intervene,1450.22,Germany,Hamburg,6.3
0,0.24187228730095334,Do Not Intervene,1924.52,USA,Los Angeles,0.2
0,0.8253095774195301,Trigger Retention Campaign (15% Discount),1146.07,Canada,Vancouver,2.9
0,0.18922898474559152,Do Not Intervene,913.57,USA,Houston,2.4
0,0.509158334567733,Trigger Retention Campaign (15% Discount),1048.67,Australia,Adelaide,2.7
1,0.7576477315515785,Trigger Retention Campaign (15% Discount),298.79,Germany,Cologne,2.9
0,0.2674094676591016,Do Not Intervene,1225.76,USA,Chicago,1.2
0,0.15107865877096519,Do Not Intervene,1368.07,USA,Los Angeles,2.2
0,0.2472821711898729,Do Not Intervene,2119.09,Australia,Sydney,1.2
0,0.08358002960255626,Do Not Intervene,937.46,USA,New York,1.4
0,0.22563813447969397,Do Not Intervene,1852.39,Australia,Melbourne,2.7
0,0.12008052057970196,Do Not Intervene,1561.53,USA,Houston,8.9
0,0.4827746847828492,Trigger Retention Campaign (15% Discount),760.23,USA,New York,0.7
1,0.807525804448603,Trigger Retention Campaign (15% Discount),1907.62,Canada,Montreal,3.0
0,0.12853624910846523,Do Not Intervene,296.87,USA,Houston,4.8
0,0.17161546220804588,Do Not Intervene,2638.69,USA,Phoenix,0.4
0,0.2542228565612035,Do Not Intervene,754.95,USA,New York,2.5
0,0.16134589138219418,Do Not Intervene,2321.4,France,Toulouse,0.2
0,0.16448894615810286,Do Not Intervene,2097.46,Japan,Nagoya,3.9
0,0.18644692464956644,Do Not Intervene,2681.46,USA,Chicago,9.3
1,0.14294481878483029,Do Not Intervene,1036.75,USA,Phoenix,4.9
0,0.12526524293446292,Do Not Intervene,1649.83,USA,Houston,5.6
1,0.6269537702309138,Trigger Retention Campaign (15% Discount),506.88,USA,Phoenix,0.8
1,0.7655149192756511,Trigger Retention Campaign (15% Discount),1145.2,UK,Manchester,2.7
0,0.11019513519737294,Do Not Intervene,3066.44,Canada,Toronto,3.6
0,0.18128727230256927,Do Not Intervene,1434.81,Germany,Hamburg,4.7
1,0.6794363331290714,Trigger Retention Campaign (15% Discount),1089.37,USA,Houston,1.8
0,0.0940295885454337,Do Not Intervene,1555.98,Canada,Montreal,2.0
0,0.08996025301358034,Do Not Intervene,946.88,France,Marseille,3.5
0,0.3699793978458688,Trigger Retention Campaign (15% Discount),396.65,UK,Leeds,1.3
0,0.2570442403953661,Do Not Intervene,2144.05,USA,Phoenix,4.0
0,0.11087974852112642,Do Not Intervene,1088.64,India,Chennai,2.5
0,0.15982910983432613,Do Not Intervene,3941.93,UK,Manchester,3.5
0,0.14559927017043922,Do Not Intervene,2045.96,USA,Chicago,0.9
0,0.12334558526234084,Do Not Intervene,1054.46,Canada,Ottawa,1.8
0,0.10634454658425886,Do Not Intervene,2459.55,USA,Los Angeles,2.4
1,0.8386625708637924,Trigger Retention Campaign (15% Discount),2147.28,France,Toulouse,3.3
0,0.1400044563172014,Do Not Intervene,1575.57,USA,Houston,1.6
0,0.15848088751912626,Do Not Intervene,717.82,India,Bangalore,0.8
0,0.1122255295875603,Do Not Intervene,2609.63,USA,Houston,3.9
0,0.2277289412560389,Do Not Intervene,2012.87,France,Nice,3.4
0,0.13937707936285673,Do Not Intervene,1967.01,USA,Chicago,6.0
0,0.24683680528212038,Do Not Intervene,2807.6,Germany,Hamburg,2.9
0,0.5589815657664817,Trigger Retention Campaign (15% Discount),375.2,France,Nice,4.7
1,0.5185212434347491,Trigger Retention Campaign (15% Discount),1167.33,France,Lyon,4.7
0,0.22501102058961223,Do Not Intervene,362.76,UK,Birmingham,1.7
0,0.10374152805463537,Do Not Intervene,1728.42,USA,Phoenix,1.0
0,0.13146135457121283,Do Not Intervene,2300.78,France,Lyon,3.4
0,0.1431004477768121,Do Not Intervene,883.93,India,Chennai,0.9
0,0.293408922379785,Trigger Retention Campaign (15% Discount),844.07,USA,New York,1.6
0,0.0877304107128258,Do Not Intervene,1504.12,Japan,Osaka,1.8
1,0.8080157006037968,Trigger Retention Campaign (15% Discount),2580.44,Japan,Kyoto,2.4
0,0.32959232391451765,Trigger Retention Campaign (15% Discount),505.88,Australia,Sydney,0.9
0,0.12890083489350532,Do Not Intervene,967.46,India,Bangalore,2.1
